PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gomez, C; Demirkol, I; Paradells, J				Gomez, Carles; Demirkol, Ilker; Paradells, Josep			Modeling the Maximum Throughput of Bluetooth Low Energy in an Error-Prone Link	IEEE COMMUNICATIONS LETTERS			English	Article						Bluetooth Low Energy; maximum throughput; performance evaluation		We present an analytical model for the maximum throughput of Bluetooth Low Energy (BLE), considering the presence of uncorrelated bit errors and the impact of a key BLE parameter that defines the time between the start of two consecutive connection events. The derived analysis models the generic application of master-to-slave unidirectional data transmission, which also forms an upper bound for bidirectional data transmission throughput. Simulation results show that our model accurately predicts the maximum BLE throughput for all bit error rates and BLE parameter settings evaluated.	[Gomez, Carles] Univ Politecn Cataluna, Dept Telemat Engn, ES-08034 Barcelona, Spain; i2CAT Fdn, Barcelona 08034, Spain	Universitat Politecnica de Catalunya; Internet I Innovacio Digital A Catalunya (I2CAT)	Gomez, C (corresponding author), Univ Politecn Cataluna, Dept Telemat Engn, ES-08034 Barcelona, Spain.	carlesgo@entel.upc.edu; ilker.demirkol@entel.upc.edu; teljpa@entel.upc.edu	Gomez, Carles/G-4719-2015; Paradells, Josep/I-4736-2015; Demirkol, Ilker/C-7541-2009	Gomez, Carles/0000-0002-4186-8418; Paradells, Josep/0000-0003-4185-2202; Demirkol, Ilker/0000-0002-8026-5337	Spanish Government [TEC2009-11453]	Spanish Government(Spanish Government)	This work was supported in part by the Spanish Government through the TEC2009-11453 project.		4	43	45	0	11	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1089-7798			IEEE COMMUN LETT	IEEE Commun. Lett.	NOV	2011	15	11					1187	1189		10.1109/LCOMM.2011.092011.111314	http://dx.doi.org/10.1109/LCOMM.2011.092011.111314			3	Telecommunications	Science Citation Index Expanded (SCI-EXPANDED)	Telecommunications	852PJ					2023-06-19	WOS:000297369600014
C	Zhang, QY; Liang, ZY			IEEE	Zhang, Qiaoyang; Liang, Zhiyao			Security Analysis of Bluetooth Low Energy Based Smart Wristbands	2017 2ND INTERNATIONAL CONFERENCE ON FRONTIERS OF SENSORS TECHNOLOGIES (ICFST)			English	Proceedings Paper	2nd International Conference on Frontiers of Sensors Technologies (ICFST)	APR 14-16, 2017	Shenzhen, PEOPLES R CHINA	Shenzhen Univ, IEEE, Shenzhen Univ, Coll Comp Sci & Software Engn		wearable devices; smart wristband; bluetooth low energy; security; privacy		Wearable devices are being more popular in our daily life. Especially, smart wristbands are booming in the market recently, which can be used to monitor health status, track fitness data, or even do medical tests, etc. For this reason, smart wristbands can obtain a lot of personal data. Hence, users and manufacturers should pay more attention to the security aspects of smart wristbands. However, we have found that some Bluetooth Low Energy based smart wristbands have very weak or even no security protection mechanism, therefore, they are vulnerable to replay attacks, man-in-the-middle attacks, brute-force attacks, Denial of Service (DoS) attacks, etc. We have investigated four different popular smart wristbands and a smart watch. Among them, only the smart watch is protected by some security mechanisms while the other four smart wristbands are not protected. In our experiments, we have also figured out all the message formats of the controlling commands of these smart wristbands and developed an Android software application as a testing tool. Powered by the resolved command formats, this tool can directly control these wristbands, and any other wristbands of these four models, without using the official supporting applications.	[Zhang, Qiaoyang; Liang, Zhiyao] Macau Univ Sci & Technol, Fac Informat Technol, Macau, Peoples R China	Macau University of Science & Technology	Zhang, QY (corresponding author), Macau Univ Sci & Technol, Fac Informat Technol, Macau, Peoples R China.	ykgfku@gmail.com; zyliang@must.edu.mo							10	15	15	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-4860-1				2017							421	425						5	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BJ7EK					2023-06-19	WOS:000427162000089
J	Shavelis, R; Ozols, K				Shavelis, Rolands; Ozols, Kaspars			Bluetooth Low Energy Wireless Sensor Network Library in MATLAB Simulink	JOURNAL OF SENSOR AND ACTUATOR NETWORKS			English	Article						Bluetooth Low Energy (BLE); wireless sensor network; MATLAB Simulink library	TIME	The paper describes the elements of the developed MATLAB Simulink library for building the models of Bluetooth Low Energy (BLE) wireless sensor networks to simulate the communication between BLE devices in the presence of interference and channel noise. Various parameters can be configured for the devices including their 2D positions to take into account the distances between them for calculating the attenuation coefficients of the transmitted signals. Two simulation examples are provided, one of which demonstrates the data exchange between one master device and one slave at high data packet transmission rate (2 kHz), while the other example shows the data exchange between one master and multiple slaves simultaneously, in which case the data packet transmission rate can be no larger than 133 Hz.	[Shavelis, Rolands; Ozols, Kaspars] Inst Elect & Comp Sci, 14 Dzerbenes Str, LV-1006 Riga, Latvia	Institute of Electronics & Computer Science	Shavelis, R (corresponding author), Inst Elect & Comp Sci, 14 Dzerbenes Str, LV-1006 Riga, Latvia.	shavelis@edi.lv; kaspars.ozols@edi.lv	Shavelis, Rolands/AAI-4533-2021; Ozols, Kaspars/AAG-7137-2021	Ozols, Kaspars/0000-0002-9009-7306	H2020 ECSEL JU grant [737453]	H2020 ECSEL JU grant	This work was supported by the H2020 ECSEL JU grant agreement No. 737453 I-MECH project 'Intelligent Motion Control Platform for Smart Mechatronic Systems'. The support is gratefully acknowledged.		22	1	1	0	1	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2224-2708		J SENS ACTUAR NETW	J. Sens. Actuar. Netw.	SEP	2020	9	3							38	10.3390/jsan9030038	http://dx.doi.org/10.3390/jsan9030038			21	Telecommunications	Emerging Sources Citation Index (ESCI)	Telecommunications	OB0UR		gold			2023-06-19	WOS:000578192400001
C	Lukac, N; Horvat, I; Papp, I; Velikic, G			IEEE	Lukac, Nikola; Horvat, Igor; Papp, Istvan; Velikic, Gordana			Uniform Representation and Control of Bluetooth Low Energy Devices in Home Automation Software	2015 IEEE 5TH INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS - BERLIN (ICCE-BERLIN)			English	Proceedings Paper	5th IEEE International Conference on Consumer Electronics Berlin	SEP 06-09, 2015	Berlin, GERMANY	HARMAN		Internet of Things; Home Automation; Bluetooth Low Energy; Sensor Network; Adaptation Layer		Dissimilarity between Bluetooth Low Energy based devices limits a number of devices that can be added to a home automation system to a particular brand. This paper presents a new method which enables "brand-free plug-n-play" deployment of smart devices. The method is based on novel approach to home manager concepts of services and properties, and design of adaption mechanism layer. The method is integrated, tested, and validated in home automation systems using our Bluetooth Low Energy based outlet device and off the shelf device.	[Lukac, Nikola; Horvat, Igor] Univ Novi Sad, Fac Tech Sci, Novi Sad, Serbia; [Papp, Istvan; Velikic, Gordana] RT RK Inst Comp Based Syst, Novi Sad, Serbia	University of Novi Sad	Lukac, N (corresponding author), Univ Novi Sad, Fac Tech Sci, Novi Sad, Serbia.	nikola.lukac@rt-rk.com; igor.horvat@rt-rk.com; istvan.papp@rt-rk.com; gordana.velikic@rt-rk.com							4	8	8	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4799-8748-1				2015							366	368						3	Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BF2BI					2023-06-19	WOS:000380452700078
C	Zidek, K; Pitel', J			IEEE	Zidek, Kamil; Pitel', Jan			Smart 3D Pointing Device Based on MEMS Sensor and Bluetooth Low Energy	PROCEEDINGS OF THE 2013 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN CONTROL AND AUTOMATION (CICA)	IEEE Symposium on Computational Intelligence in Control and Automation-CICA		English	Proceedings Paper	3rd IEEE Symposium on Computational Intelligence in Control and Automation (CICA)	APR 16-19, 2013	Singapore, SINGAPORE	IEEE, IEEE Computat Intelligence Soc		pointing device; mems; bluetooth low energy		The paper deals with the development of a new type of wireless pointing device based on 3D MEMS sensor as measuring component. Currently available pointing devices based on MEMS sensors (AIR mouse or AIR presenter) use proprietary wireless solution and their dimensions are copied from standard mouse. The new approach of our pointing device is based on standardized Bluetooth Low Energy protocol with minimal dimension and 3D way of control. This device can be used like a standard mouse in 2D with computer equipped by Bluetooth 4. The third measured dimension can be used to switch X or Y axis to Z plane, because we can control pointer without flat surface. The change of 2D pointing plane from XY to YZ or XZ can be switched intelligent by detection of acceleration activity in third axis. The device in full 3D mode will be used for control of rehabilitation arm in teaching mode by patient or therapist.	[Zidek, Kamil; Pitel', Jan] Tech Univ Kosice, Fac Mfg Technol, Dept Math Informat & Cybernet, Presov, Slovakia	Technical University Kosice	Zidek, K (corresponding author), Tech Univ Kosice, Fac Mfg Technol, Dept Math Informat & Cybernet, Presov, Slovakia.	kamil.zidek@tuke.sk; jan.pitel@tuke.sk	Zidek, Kamil/D-8133-2015; Piteľ, Ján/G-8021-2016	Zidek, Kamil/0000-0003-0176-7433; Piteľ, Ján/0000-0003-1942-0438					17	5	5	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2328-1464		978-1-4673-5893-4	IEEE SYM COMP INT CO			2013							207	211						5	Automation & Control Systems; Computer Science, Artificial Intelligence	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science	BA3ZQ					2023-06-19	WOS:000335223600031
J	Ryu, DS; Yeon, YM; Kim, SH				Ryu, Dong-Suk; Yeon, Yeung-Mo; Kim, Seung-Hee			Multilink Internet-of-Things Sensor Communication Based on Bluetooth Low Energy Considering Scalability	ELECTRONICS			English	Article						Bluetooth 5; Bluetooth low energy; radio communication; group communication		As the growth rate of the internet-of-things (IoT) sensor market is expected to exceed 30%, a technology that can easily collect and processing a large number of various types of sensor data is gradually required. However, conventional multilink IoT sensor communication based on Bluetooth low energy (BLE) enables only the processing of up to 19 peripheral nodes per central device. This study suggested an alternative to increasing the number of IoT sensor nodes while minimizing the addition of a central processor by expanding the number of peripheral nodes that can be processed per central device through a new group-switching algorithm based on Bluetooth low energy (BLE). Furthermore, this involves verifying the relevancy of application to the industry field. This device environment lowered the possibility of data errors and equipment troubles due to communication interference between central processors, which is a critical advantage when applying it to industry. The scalability and various benefits of a group-switching algorithm are expected to help accelerate various services via the application of BLE 5 wireless communication by innovatively improving the constraint of accessing up to 19 nodes per central device in the conventional multilink IoT sensor communication.	[Ryu, Dong-Suk; Yeon, Yeung-Mo; Kim, Seung-Hee] Korea Univ Technol & Educ, Sch IT Convergence Software Engn, Cheonan 31253, South Korea	Korea University of Technology & Education	Kim, SH (corresponding author), Korea Univ Technol & Educ, Sch IT Convergence Software Engn, Cheonan 31253, South Korea.	dsmuzin@koreatech.ac.kr; yym7905@koreatech.ac.kr; sh.kim@koreatech.ac.kr		Kim, Seung-Hee/0000-0001-6312-9846					32	2	2	0	3	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2079-9292		ELECTRONICS-SWITZ	Electronics	OCT	2021	10	19							2335	10.3390/electronics10192335	http://dx.doi.org/10.3390/electronics10192335			19	Computer Science, Information Systems; Engineering, Electrical & Electronic; Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Physics	WI3MP		gold			2023-06-19	WOS:000708269100001
C	Pang, BZ; Claeys, T; Hallez, H; Boydens, J			IEEE	Pang, Bozheng; Claeys, Tim; Hallez, Hans; Boydens, Jeroen			An Exponential Back-off Algorithm Based Interference Avoidance Strategy for Bluetooth Low Energy against Wideband Interference	2022 INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC COMPATIBILITY (EMC EUROPE 2022)	IEEE International Symposium on Electromagnetic Compatibility		English	Proceedings Paper	International Symposium on Electromagnetic Compatibility (EMC Europe)	SEP 05-08, 2022	Gothenburg, SWEDEN	IEEE, EMC Soc, APEMC, URSI, Royal Swedish Acad Sci, Natl Comm Radio Sci, Provinn, Content Avenue, Vinn, Wurth Elektronik, Rohde & Schwarz, Ansys, Dassault Syst, Spirent, Res Inst Sweden		Bluetooth Low Energy (BLE); wideband interference; back-off algorithm; reliability		Wireless connection reliability is always a top priority in Internet of Things systems, especially in a harsh electromagnetic environment. As a prominent wireless communication protocol in the 2.4 GHz frequency band, Bluetooth Low Energy always has compatibility challenges with wideband protocols working in the same frequency band such as Wi-Fi. In this paper, we present a lightweight strategy for Bluetooth Low Energy devices to cope with the compatibility issues with wideband interference. The strategy is based on the exponential backoff algorithm and is implemented mostly in the Bluetooth Low Energy application layer. The results of the experiments show that the strategy can deal with both static and dynamic wideband interference, reducing packet loss rates to around 3% and 5%, respectively.	[Pang, Bozheng; Hallez, Hans; Boydens, Jeroen] Katholieke Univ Leuven, Dept Comp Sci, Brugge, Belgium; [Claeys, Tim] Katholieke Univ Leuven, Dept Elect Engn, Brugge, Belgium	KU Leuven; KU Leuven	Pang, BZ (corresponding author), Katholieke Univ Leuven, Dept Comp Sci, Brugge, Belgium.	bozheng.pang@kuleuven.be; tim.claeys@kuleuven.be; hans.hallez@kuleuven.be; jeroen.boydens@kuleuven.be	Pang, Bozheng/GOG-9141-2022; Boydens, Jeroen/A-1280-2014	claeys, tim/0000-0002-7782-3553; Boydens, Jeroen/0000-0002-7902-8537					16	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2158-110X		978-1-6654-0788-5	IEEE INT SYMP ELEC			2022							661	666		10.1109/EMCEUROPE51680.2022.9901045	http://dx.doi.org/10.1109/EMCEUROPE51680.2022.9901045			6	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BU2MF					2023-06-19	WOS:000885912100121
C	Sikora, A; Krzysztori, M; Marks, M			IEEE	Sikora, Andrzej; Krzysztori, Mateusz; Marks, Michal			Application of Bluetooth Low Energy Protocol for Communication in Mobile Networks	2018 INTERNATIONAL CONFERENCE ON MILITARY COMMUNICATIONS AND INFORMATION SYSTEMS (ICMCIS)			English	Proceedings Paper	International Conference on Military Communications and Information Systems (ICMCIS)	MAY 22-23, 2018	Warsaw, POLAND			Bluetooth Low Energy; Android; SPAN; co-operation; rescue action support		This paper treats on issues related to Bluetooth Low Energy (BLE) communication protocol and its application to create mobile ad-hoc networks. The purpose of this article is to investigate applicability of BLE protocol in practical scenarios like population involvement in Military Operations in a Smart City - scenario proposed by NATO IST-147 group. The authors prepared a test environment and a mobile application for Android operating system. Both of them were used to conduct research on energy consumption, communication range and data transmission efficiency. Additionally, outdoor tests were performed to verify quality of communication via BLE in various types of terrain.	[Sikora, Andrzej; Krzysztori, Mateusz; Marks, Michal] Res & Acad Comp Network NASK, Warsaw, Poland; [Krzysztori, Mateusz] Warsaw Univ Technol, Inst Control & Computat Engn, Warsaw, Poland	Research & Academic Computer Network (NASK); Warsaw University of Technology	Sikora, A (corresponding author), Res & Acad Comp Network NASK, Warsaw, Poland.	andrzej.sikora@nask.pl; mateusz.krzyszton@nask.pl; michal.marks@nask.pl			National Centre of Research and Development [CYBERSECIDENT/369195/I/NCBR/2017]	National Centre of Research and Development(National Centre for Research & Development, Poland)	Work done as part of the CYBERSECIDENT/369195/I/NCBR/2017 project supported by the National Centre of Research and Development in the frame of CyberSecIdent Programme.		6	3	3	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-4559-8				2018														6	Computer Science, Information Systems; Political Science	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Government & Law	BL2JG					2023-06-19	WOS:000449017500003
C	Perri, M; Cuomo, F; Locatelli, P			IEEE	Perri, Massimo; Cuomo, Francesca; Locatelli, Pierluigi			BLENDER - Bluetooth Low Energy discovery and fingerprinting in IoT	2022 20TH MEDITERRANEAN COMMUNICATION AND COMPUTER NETWORKING CONFERENCE (MEDCOMNET)			English	Proceedings Paper	20th Mediterranean Communication and Computer Networking Conference (MedComNet)	JUN 01-03, 2022	Pafos, CYPRUS	IEEE Commun Soc, IEEE Comp Soc, CYENS, KIOS Res Ctr		Bluetooth Low Energy; BLE; IoT; LoRaWAN; Security; Privacy		Bluetooth Low Energy (BLE) is a pervasive wireless technology all around us today. It is included in most commercial consumer electronic devices manufactured in last years, and billions of BLE-enabled devices are produced every year, including wearable or portable ones like smartphones, smart-watches and smartbands. The success of BLE as a cornerstone in IoT and consumer electronics is both an advantage, giving wireless communication potential in the short range at low cost and consumption, and a disadvantage, from a security and privacy standpoint. BLE exposes packets that enable a potential attacker to detect, enquire and fingerprint actual devices despite manufacturers attempts to avoid detection and tracking. MAC address randomization was introduced in the BLE standard to solve some of these issues. In this paper we discuss how to detect and fingerprint BLE devices, basing our analysis and data collection on GAP (Generic Access Profile) and GATT (Generic Attribute Profile) protocols and data that can be recovered from devices by interactions allowed by the standard. In our study we focus on the possibility of enumerating and creating fingerprints of discovered devices, for crowd monitoring and recognition purposes, associating BLE randomized MAC addresses to actual devices using computed fingerprints when GATT is exploitable. We describe how large scale data collection can be obtained using automatic scanning devices with long range communication hardware, to uplink collected data in cloud-based applications and to a data store.	[Perri, Massimo; Cuomo, Francesca; Locatelli, Pierluigi] Univ Rome, Sapienza, Rome, Italy	Sapienza University Rome	Perri, M (corresponding author), Univ Rome, Sapienza, Rome, Italy.	perri.1632744@studenti.uniroma1.it; francesca.cuomo@uniroma1.it; pierluigi.locatelli@uniroma1.it							13	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-6654-8729-0				2022										10.1109/MedComNet55087.2022.9810437	http://dx.doi.org/10.1109/MedComNet55087.2022.9810437			8	Computer Science, Hardware & Architecture; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Telecommunications	BT8DW					2023-06-19	WOS:000852881400023
C	Prakash, YW; Biradar, V; Vincent, S; Martin, M; Jadhav, A			IEEE	Prakash, Y. W.; Biradar, Vishakha; Vincent, Shenil; Martin, Minto; Jadhav, Anita			Smart Bluetooth Low Energy Security System	2017 2ND IEEE INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, SIGNAL PROCESSING AND NETWORKING (WISPNET)			English	Proceedings Paper	2nd IEEE International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)	MAR 22-24, 2017	Chennai, INDIA	IEEE, IEEE Commun Soc, SSN, iNSERB INDIA, Aconf, ISRO Bangalore, Pearson India Educ Serv Private Ltd, IEEE MAS Sect, IEEE Commun Madras Chapter, DST SERB New Delhi		PSoC 4 BLE; Surveillance System; IOT (Internet of Things); BLE (Bluetooth Low Energy); Image Transmission; Biometric		The need for security in today's world has become a mandatory issue to look after. With the increase in a number of thefts, it has become a necessity to implement a smart security system. Due to the high cost of the existing smart security systems which use conventional Bluetooth and other wireless technologies and their relatively high energy consumption, implementing a security system with low energy consumption at a low cost has become the need of the hour. The objective of the paper is to build a cost effective and low energy consumption security system using the Bluetooth Low Energy (BLE) technology. This system will help the user to monitor and manage the security of the house even when the user is outside the house with the help of webpage. This paper presents the design and implementation of a security system using PSoC 4 BLE which can automatically lock and unlock the door when the user in the vicinity and leaving the vicinity of the door respectively by establishing a wireless connection between the physical lock and the smartphone. The system also captures an image of a person arriving at the house and transmits it wirelessly to a webpage. The system also notifies the user of any intrusion by sending a message and the image of the intruder to the webpage. The user can also access the door remotely on the go from the website.	[Prakash, Y. W.; Biradar, Vishakha; Vincent, Shenil; Martin, Minto; Jadhav, Anita] FCRIT, Elect & Telecommun Engn, Vashi 400703, India		Prakash, YW (corresponding author), FCRIT, Elect & Telecommun Engn, Vashi 400703, India.	felixyasarp100@gmail.com; vishakha.b134@gmail.com; shenilvincent@gmail.com; mintomartin07@gmail.com; anitasjadhav@gmail.com	Jadhav, Anita/AAS-2818-2021						9	3	3	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-4442-9				2017							2141	2146						6	Engineering, Electrical & Electronic; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Telecommunications	BJ8NG					2023-06-19	WOS:000428513600392
J	Garcia-Ortiz, JC; Silvestre-Blanes, J; Sempere-Paya, V				Garcia-Ortiz, Juan Carlos; Silvestre-Blanes, Javier; Sempere-Paya, Victor			Experimental Application of Bluetooth Low Energy Connectionless in Smart Cities	ELECTRONICS			English	Article						smart cities; BLE; Bluetooth Low Energy; wireless communication; reliability	TECHNOLOGIES	Communication networks are a key element in the development of Smart Cities. This field is a constantly evolving environment, for which new protocols are constantly appearing. Due to the heterogeneous nature of the technologies, the most appropriate candidate must be selected in order to get the best performance to satisfy the application requirements. One of these protocols is Bluetooth Low Energy (BLE), particularly with the upgrades introduced in version 5.x. Its new features are focused on providing increased range, improving robustness, and expanding beaconing capabilities. Connectionless applications such as information broadcasting in Smart Cities could take advantage of this protocol. Furthermore, the wide availability on common devices (mobile phones, car infotainment, etc.), the deployment of these applications can be carried out easily and at low cost. This paper presents an experimental evaluation of the new robust, long-range radio mode of BLE over a set of Smart Cities scenarios, taking into account different conditions such as wireless interference, distances, dynamicity, etc. The results show a promising performance of the protocol even with these constraints.	[Garcia-Ortiz, Juan Carlos] Inst Tecnol Informat ITI, Valencia 46022, Spain; [Silvestre-Blanes, Javier] Univ Politecn Valencia UPV, Escuela Politecn Super Alcoy EPSA, Inst Tecnol Informat ITI, Dept Informat Sistemas & Computadores DISCA, Alcoy 03801, Spain; [Sempere-Paya, Victor] Univ Politecn Valencia UPV, Inst Tecnol Informat ITI, Dept Comunicac DCOM, Valencia 46022, Spain	Universitat Politecnica de Valencia; Universitat Politecnica de Valencia	Silvestre-Blanes, J (corresponding author), Univ Politecn Valencia UPV, Escuela Politecn Super Alcoy EPSA, Inst Tecnol Informat ITI, Dept Informat Sistemas & Computadores DISCA, Alcoy 03801, Spain.	juagaror@iti.es; jsilves@disca.upv.es; vsempere@dcom.upv.es	Sempere Paya, Victor M./S-2691-2018	Sempere Paya, Victor M./0000-0001-9271-2010; Silvestre-Blanes, Javier/0000-0001-7091-0040	Project PRYSTINE within the Electronic Components and Systems for European Leadership Joint Undertaking (ECSEL JU); European Union [783910]; Generalitat Valenciana through the "Instituto Valenciano de Competitividad Empresarial-IVACE"	Project PRYSTINE within the Electronic Components and Systems for European Leadership Joint Undertaking (ECSEL JU); European Union(European Commission); Generalitat Valenciana through the "Instituto Valenciano de Competitividad Empresarial-IVACE"	H This work has been supported by Project PRYSTINE which has received funding within the Electronic Components and Systems for European Leadership Joint Undertaking (ECSEL JU) in collaboration with the European Union's H2020 Framework Programme and National Authorities, under grant agreement No. 783910. It also has been funded by Generalitat Valenciana through the "Instituto Valenciano de Competitividad Empresarial-IVACE".		25	1	1	2	2	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2079-9292		ELECTRONICS-SWITZ	Electronics	NOV	2021	10	22							2735	10.3390/electronics10222735	http://dx.doi.org/10.3390/electronics10222735			20	Computer Science, Information Systems; Engineering, Electrical & Electronic; Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Physics	2I9ZK		Green Published, gold			2023-06-19	WOS:000815328700001
C	Wiecha, P; Cieplucha, M; Kloczko, P; Pleskacz, WA		Napieralski, A		Wiecha, Pawel; Cieplucha, Marek; Kloczko, Patryk; Pleskacz, Witold A.			Architecture and Design of a Bluetooth Low Energy Controller	PROCEEDINGS OF THE 23RD INTERNATIONAL CONFERENCE ON MIXED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS (MIXDES 2016)			English	Proceedings Paper	23rd International Conference on Mixed Design of Integrated Circuits and Systems (MIXDES)	JUN 23-25, 2016	Lodz, POLAND	Lodz Univ Technol, Dept Microelectron & Comp Sci, Warsaw Univ Technol, Inst Microelectron & Optoelectron, Polish Acad Sci, Sect Microelectron, Int Union Radio Sci, Polish Natl Comm, Commiss Elect & Foton, IEEE, Poland Sect ED & CAS Chapters, Polish Acad Sci, Comm Elect & Telecommunicat, Sect Signals, Elect Circuits & Syst, Cadence, Comsol, Natl Instruments		Bluetooth Low Energy; Link Layer Controller; Verilog Design; Hardware Verification; Intelectual Property		This paper describes the architecture and design of a Bluetooth Low Energy Controller. The designed controller consists of a hardware and software part. The hardware part consists of a link layer and a physical layer (analog radio), which is out of the scope of this work. Great emphasis was placed on minimizing hardware area and power consumption. Most of the complex and sequential functions were moved to the software Intermediate Layer introduced in this paper. Furthermore, Single Port RAM (SPRAM) was used to reduce the number of registers in the design. Flexibility was achieved by division of the hardware into two separate clock domains. Hardware part was designed using fully synthesizable Verilog HDL to simplify integration process into a System on Chip (SoC). In the proposed architecture the standard Bluetooth software stack may be used for the controller management. The controller architecture, implementation and verification strategies are described in this paper.	[Wiecha, Pawel; Cieplucha, Marek; Kloczko, Patryk; Pleskacz, Witold A.] Warsaw Univ Technol, Inst Microelect & Optoelect, Ul Koszykowa 75, PL-00662 Warsaw, Poland	Warsaw University of Technology	Wiecha, P (corresponding author), Warsaw Univ Technol, Inst Microelect & Optoelect, Ul Koszykowa 75, PL-00662 Warsaw, Poland.	p.wiecha@stud.elka.pw.edu.pl; m.cieplucha@imio.pw.edu.pl; p.kloczko@stud.elka.pw.edu.pl; w.pleskacz@imio.pw.edu.pl							8	2	2	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-8-3635-7808-4				2016							164	167						4	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BF6JP					2023-06-19	WOS:000383221700030
